P46217	Q4JAY4	0.0336088
P62805	Q96GM5	4.27748
P22685	Q551M2	66.6417
Q97Z84	Q980U8	0.456897
Q72GR8	Q72GR9	0.1452
P33332	P38261	0.431903
Q8RGE0	Q8RGE3	0.390985
A0QU24	A0QU35	6.59206
A0A9R0JVI6	P11705	0.398402
A0T0U5	A0T0V1	0.0250494
P62487	P63272	169.271
P20282	P21467	0.0428657
P41586	P59768	597.93
A8ITV3	P12154	0.0384089
P04310	P21603	0.29701
Q86VP6	Q96GG9	1.00516
P53803	Q92966	0.296585
A0A8D1KNW4	P60899	139.486
Q00403	Q92966	0.196572
D5AQG8	D5AQH2	0.159249
A4VD75	I7M6H4	0.285015
P20979	P21082	0.27458
C4R0E6	C4R1V1	0.0796265
P26784	P36160	4.38737
P05805	Q7M3E1	0.0677984
P13165	P69416	0
V5V9F4	V5V9K5	0.234721
Q24I09	W7XBF5	0.296252
P49735	Q9W0I7	14.8421
P00428	P04038	109.712
P06899	P52435	1.69088
C4QY79	C4R273	1.84468
P9WGY7	P9WJG3	0.385854
C3SQX2	C3SR57	0.186313
A0A4V8GZZ5	A0A4V8GZZ8	0.129422
O74499	P87173	97.8248
Q76B86	Q9TM21	0.398549
B6A879	B6A880	0.16004
A0A9R0I5M6	A0A9R0JF29	0.318532
P0C6E0	Q9KPS1	0.260133
P39744	P43586	0.306255
A0A2K3DG79	A8J353	0.178374
A0A2P6U4K1	W8SY74	0.00714106
Q9TM20	Q9TM22	0
O43036	O94616	0.550196
A0QVB8	A0R550	2.07027
D0CD11	D0CD21	0.289452
Q2G111	Q2G2Q1	0.639888
P04637	P61218	13.1809
P21471	P21476	0.0310102
P39748	P49005	194.553
Q13426	Q9NP87	19.1982
P07839	Q75VY9	0.0348374
O43402	Q9NPA0	182.179
E9NPS7	I0YQ46	0.00341505
P09192	P29256	0.114446
C4R3Z5	C4R5R1	0.804999
O14810	P60880	112.402
A0A444WZ62	A0A445CVZ9	4.90569
D7P897	K0J903	0.111197
Q8DIP0	Q8DLJ8	0.180624
O49653	Q6NMZ4	0.155214
O19882	O19928	0.0452383
P31376	Q12464	2.84069
P42919	P56849	0.0604877
Q2FW20	Q2FXK6	0.0394697
P13192	P69416	0
O94376	O94646	1.1287
A0A6I8WFT8	C1K003	0.026827
Q969L4	Q9UKF6	2.81004
A0A069Q263	A0A069QC99	0.176107
P38751	P40465	0.298811
P00044	P07256	0.244956
G0RZG4	G0SCD1	0.406348
Q27RN4	Q27RN5	0.0975474
P0A9T8	P0ADA1	0.43478
A8IH07	A8IJY7	0.417991
P07703	P36121	5.05121
P28000	P47076	10.8303
P01589	P31785	195.762
I7MDA9	I7MLZ4	0.459745
P9WGY5	P9WHJ5	0.249222
O19928	Q9TM46	0.109934
Q940U6	Q9LU39	0.201783
Q23YW7	Q24CL2	0.853859
Q06339	Q12415	0.190083
P20339	Q9P2Y5	2.12338
Q05AW3	Q66IZ6	122.314
P53803	P63272	129.834
P20435	Q12004	12.7925
O95456	P28070	1.05945
Q9CPW4	Q9CVB6	140.736
Q57TX9	Q586H1	7.73277
P50990	Q99471	0.681475
C4QZ45	C4R7H2	0.327964
A0A1S3X2G3	A0A1S3ZQT7	0.207899
A0A4V8GZZ7	A0A4V8H005	0
P0A800	P0AGB6	0.31218
P02309	P47128	0.132743
G0RZG4	G0S1P1	0.662977
C1K003	Q56D18	0.0261779
Q95695	Q9FG89	0.132049
Q2FZ25	Q2G113	0.166907
Q83D88	Q83EQ9	0.477327
P40208	Q12027	0.176507
F2Z4H3	Q32PE0	0.164042
P08913	P59768	479.739
C4R2U9	C4R997	0.361816
P73069	Q55330	0.0414474
Q8DKZ4	Q8DLL4	0.410005
D7NIZ2	D8V7I7	0.104678
Q9BQ15	Q9UL03	0.207371
P50991	P61758	4.00581
P61201	Q9UBF6	103.285
Q00578	Q12004	15.8057
A0A125YS93	A0A125YU99	0.582305
E1C9K8	P17227	0
A0A2K1IAD0	A0A2K1IB10	0.0397501
P25515	P38784	0.230387
P02602	P68135	182.011
Q9VLI9	Q9VUZ1	222.918
P01116	Q13617	5.10013
Q96SY0	Q9NV88	178.421
Q9NVM9	Q9NVR2	205.633
A0A1S3XP85	A0A1S4BFK7	0.276161
A0A4V8GZZ6	A0A4V8GZZ7	0.0186843
O15446	Q3B726	0.449635
O60921	P35250	109.728
P07305	P62805	24.4916
P03903	Q9CR21	0.075484
A0A6C0M5W0	A0ABF7PQ09	0.573423
P20436	P32910	4.90286
A0T0V1	B8CEQ3	0
Q83EQ3	Q83ES5	0.108694
Q99832	Q9NQP4	2.56293
P39933	Q12308	0.145196
A0AAB0B1U3	A0AAB0B1V7	0.12401
A0A2P6TPV8	A0A2P6TQ14	0.200587
D5MAL3	Q32904	0
P56768	Q949Q5	0
O19925	Q76FB0	0.0360135
P12356	Q75VY9	0.0914716
E1C9K6	E1C9K9	0.185009
Q08920	Q12330	64.2369
E9NPW6	I0YPL4	0
A0A063X781	A0A063XCP1	0.158606
E9NPV2	I0YWK6	0
O15514	Q00403	168.637
Q09177	Q09191	56.8665
P0A431	P59087	0.0661765
A0A4X1VEK9	A0A8D1B522	0.0752301
P09190	P73069	0.185221
Q01667	Q8LCQ4	0.0415399
P52435	P63272	155.98
E3UIU6	M2XWX3	0
P59768	Q9GZQ6	287.403
A1B4F4	A1BA41	5.3303
P0A7W7	P69222	0.117842
O74825	P36595	0.160355
O52760	P45684	0.413992
Q9P6Q0	Q9Y7N2	0.542767
F2QT90	F2R0J7	29.7463
A0A125YN38	S7W9J5	8.84085
Q9VBI1	Q9XYU1	24.2736
P49427	Q15370	6.79952
A0A2K1IAD0	A0A2K1JC42	0.0400634
A0A1S3ZSI0	P38550	0.322984
C3SYP2	W8T6F0	1.11944
Q8SD23	Q8SDD6	0.140672
P24964	Q2EN79	117.95
Q1HFW0	Q1HFX0	0.649843
B0C4H4	B0C7S7	0
A0A1S4CKK0	A0A1S4D7C7	0.513354
P07470	P07471	255.097
Q9P4W1	Q9UTF6	0.89145
Q1HFW0	Q1HFW2	2.48513
P59768	Q96RJ0	269.973
P35346	P59768	182.174
O31742	P19947	0.0110538
Q8DJD9	Q8DKF5	3.88327
A0A4V8H007	A0A4V8H010	0.0442613
A8IKI9	A8J4K5	0.166451
A0T0S9	A0T0V0	0
P19658	P33332	0.425717
P39543	P40540	0.173031
P16370	Q02792	1.89588
P30665	P54784	5.17103
A0A140G1Q3	A0A1S4BFK7	0.260888
M1VKK5	Q85G47	0
P62877	Q96L50	10.1873
P39933	Q06339	0.127158
A0A2K1JDR4	A0A2K1JLW2	0.054204
P0A7G2	P0AG63	0.137845
P06839	P14736	0.898862
F2CW18	F2DAN8	0.0315045
A3DF17	A3DH98	0.0992703
P58066	Q9A999	0.246236
P58568	Q8YQ35	0.0398671
